STATE,CLUSTER,HOMEOWNR,GENDER,DATASRCE,RFA_2R,RFA_2A,GEOCODE2,DOMAIN_A,DOMAIN_B
MI,44,U,M,2,L,G,A,R,2
other,18,U,M,1,L,F,B,S,2
FL,9,U,F,2,L,F,A,U,3
other,36,U,M,2,L,E,D,T,2
CA,2,H,F,2,L,F,A,U,1
other,40,H,M,3,L,E,B,T,2
CA,12,H,M,3,L,F,A,S,1
CA,20,H,F,2,L,F,A,S,2
other,31,U,F,Not matched,L,G,B,C,3
NC,42,U,F,2,L,F,B,R,1
other,22,H,F,3,L,G,C,C,1
FL,40,U,M,Not matched,L,F,D,T,2
other,10,U,M,Not matched,L,F,B,U,4
CA,12,H,M,3,L,F,A,S,1
IN,16,H,F,2,L,F,A,S,2
CA,44,U,F,Not matched,L,F,A,R,2
WA,14,H,F,2,L,F,A,S,1
other,30,H,M,3,L,F,C,C,3
IL,28,H,F,3,L,E,B,C,2
NC,24,U,F,Not matched,L,G,D,C,1
other,53,U,F,Not matched,L,F,D,R,3
other,7,H,F,3,L,F,B,U,2
CA,40,H,F,3,L,D,A,T,2
CA,13,U,F,Not matched,L,F,A,S,1
FL,29,U,M,1,L,D,B,C,2
GA,23,U,F,Not matched,L,E,A,C,1
WI,36,H,F,3,L,F,C,T,2
other,45,U,M,3,L,G,D,R,2
other,36,U,M,3,L,E,D,T,2
MI,8,U,F,2,L,G,A,U,3
MI,24,H,M,3,L,F,A,C,1
IL,13,H,F,3,L,F,A,S,1
TX,40,U,F,Not matched,L,E,A,T,2
CA,17,H,M,3,L,F,B,S,2
IN,30,H,M,2,L,E,C,C,3
GA,18,H,M,3,L,E,A,S,2
other,14,U,F,Not matched,L,E,B,S,1
MI,44,H,M,3,L,F,C,R,2
TX,38,H,M,3,L,E,A,T,2
CA,3,H,F,3,L,E,A,U,1
other,15,H,M,3,L,F,B,S,1
other,44,U,F,Not matched,L,E,D,R,2
other,43,H,F,3,L,E,D,R,2
FL,48,U,M,Not matched,L,E,A,R,2
CA,2,H,F,2,L,F,A,U,1
CA,2,U,F,2,L,E,A,U,1
MO,41,U,F,Not matched,L,D,C,T,3
CA,26,H,M,1,L,F,A,C,2
MO,13,H,M,3,L,G,A,S,1
IL,8,H,M,3,L,G,A,U,3
WA,20,H,F,3,L,F,A,S,2
other,44,H,F,2,L,F,C,R,2
TX,18,H,M,3,L,G,A,S,2
IN,40,U,F,2,L,G,C,T,2
TX,44,U,F,3,L,F,C,R,2
other,41,U,F,1,L,F,D,T,3
other,49,H,other,2,L,E,B,R,2
other,46,H,F,3,L,D,B,R,2
NC,15,H,F,2,L,F,B,S,1
TX,14,U,F,Not matched,L,F,A,S,1
other,45,U,F,Not matched,L,E,B,R,2
TX,39,U,F,2,L,E,C,T,2
FL,51,H,M,2,L,E,D,R,3
other,25,U,F,Not matched,L,E,B,C,2
other,16,U,M,Not matched,L,D,A,S,2
other,2,H,F,3,L,F,A,U,1
WI,12,U,M,1,L,F,C,S,1
other,45,U,M,3,L,E,D,R,2
other,43,U,F,Not matched,L,E,C,R,2
IL,9,U,M,3,L,D,A,U,3
WA,21,H,M,3,L,F,A,S,3
TX,24,H,F,3,L,G,A,C,1
other,34,H,F,3,L,F,B,T,1
CA,24,H,M,3,L,G,A,C,1
other,18,H,F,3,L,F,B,S,2
other,11,H,M,3,L,G,B,S,1
NC,34,U,F,2,L,F,B,T,1
TX,6,U,F,Not matched,L,F,B,U,2
GA,14,H,F,3,L,F,A,S,1
other,14,U,F,Not matched,L,G,A,S,1
CA,18,H,M,3,L,F,A,S,2
CA,3,U,F,Not matched,L,G,A,U,1
other,24,U,F,Not matched,L,E,B,C,1
CA,18,H,F,2,L,F,B,S,2
GA,40,U,F,Not matched,L,F,A,T,2
FL,24,H,F,2,L,F,A,C,1
TX,45,U,F,2,L,F,D,R,2
other,36,H,F,3,L,F,D,T,2
CA,15,H,F,3,L,F,A,S,1
IN,40,H,F,3,L,G,C,T,2
CA,8,H,M,2,L,F,B,U,3
other,21,H,F,3,L,E,B,S,3
other,38,U,M,3,L,F,A,T,2
IL,49,U,M,2,L,F,C,R,2
other,10,U,M,3,L,F,A,U,4
CA,27,H,M,3,L,E,A,C,2
CA,34,H,F,3,L,E,A,T,1
TX,44,U,F,3,L,F,A,R,2
other,14,H,F,3,L,F,B,S,1
CA,11,U,F,Not matched,L,E,A,S,1
other,28,H,M,3,L,G,C,C,2
MI,12,U,F,Not matched,L,E,A,S,1
CA,35,H,F,3,L,F,A,T,1
IL,24,U,F,3,L,E,C,C,1
TX,40,H,M,3,L,F,B,T,2
other,16,U,F,3,L,F,C,S,2
other,30,U,M,1,L,D,B,C,3
other,35,H,M,3,L,F,B,T,1
MO,45,U,F,3,L,F,D,R,2
other,13,U,F,Not matched,L,D,C,S,1
other,49,U,F,Not matched,L,G,B,R,2
WA,28,H,M,3,L,F,C,C,2
WI,45,U,M,1,L,E,D,R,2
other,38,U,F,Not matched,L,F,C,T,2
other,39,H,M,3,L,F,B,T,2
NC,36,U,F,1,L,G,B,T,2
other,15,H,M,3,L,G,B,S,1
other,18,H,M,2,L,F,A,S,2
MO,10,H,M,3,L,E,A,U,4
other,10,U,F,3,L,F,A,U,4
GA,49,U,F,1,L,E,A,R,2
TX,8,U,M,Not matched,L,F,A,U,3
other,35,H,F,2,L,F,C,T,1
IN,43,H,F,3,L,F,B,R,2
TX,15,U,F,1,L,F,A,S,1
other,38,U,M,1,L,D,C,T,2
other,36,H,F,3,L,G,D,T,2
FL,18,U,F,Not matched,L,D,B,S,2
CA,6,H,M,3,L,E,A,U,2
NC,12,H,F,3,L,F,B,S,1
TX,40,U,M,1,L,F,A,R,2
TX,23,H,M,3,L,F,B,C,1
CA,24,U,M,Not matched,L,G,A,C,1
MO,16,H,F,2,L,G,B,S,2
other,28,U,M,Not matched,L,F,D,C,2
FL,38,H,M,3,L,E,B,T,2
MI,16,U,M,Not matched,L,G,B,S,2
FL,35,U,F,Not matched,L,F,C,T,1
NC,24,H,M,2,L,F,B,C,1
TX,35,H,F,2,L,F,B,T,1
other,49,U,F,Not matched,L,F,C,R,2
other,43,U,F,2,L,E,C,R,2
GA,32,H,F,3,L,F,B,C,3
WI,36,U,M,Not matched,L,G,C,T,2
other,24,H,M,3,L,F,C,C,1
FL,46,H,F,3,L,F,B,R,2
MI,49,H,F,3,L,F,D,R,2
other,42,U,F,2,L,F,A,R,1
other,18,U,F,Not matched,L,G,B,S,2
NC,27,U,F,Not matched,L,F,C,C,2
CA,11,H,F,2,L,F,B,S,1
other,31,U,F,Not matched,L,G,C,C,3
MI,40,U,M,Not matched,L,G,C,R,2
CA,8,H,F,3,L,F,A,U,3
other,27,U,M,Not matched,L,E,C,C,2
NC,32,H,M,2,L,F,B,C,3
IL,11,H,F,3,L,F,A,S,1
other,50,H,M,2,L,E,D,R,3
WA,15,H,M,3,L,F,A,S,1
other,21,U,F,2,L,F,B,S,3
CA,28,U,M,Not matched,L,G,A,C,2
other,36,H,M,3,L,F,B,T,2
CA,27,H,F,3,L,F,A,C,2
CA,20,U,F,Not matched,L,F,A,S,2
other,30,H,F,2,L,D,B,C,3
other,38,U,F,2,L,E,C,T,2
TX,35,U,F,Not matched,L,F,A,T,1
TX,14,H,F,1,L,F,B,S,1
TX,25,U,F,Not matched,L,E,A,C,2
TX,40,H,M,2,L,E,D,R,2
WA,15,H,F,3,L,F,D,S,1
CA,15,H,F,2,L,F,A,S,1
other,16,H,M,2,L,G,B,S,2
IL,35,H,M,3,L,G,A,T,1
TX,40,U,F,Not matched,L,E,D,T,2
other,28,H,F,3,L,D,B,C,2
IL,46,H,F,2,L,D,D,R,2
CA,40,H,F,2,L,E,A,T,2
TX,41,H,F,1,L,F,C,T,3
other,8,H,F,3,L,E,A,U,3
IL,1,H,other,2,L,F,A,U,1
TX,21,H,F,3,L,F,A,S,3
other,41,H,F,1,L,E,C,T,3
WA,20,H,M,3,L,F,C,S,2
MI,49,U,F,Not matched,L,E,C,R,2
MI,24,U,F,Not matched,L,F,A,C,1
CA,10,U,M,Not matched,L,F,A,U,4
other,39,H,F,3,L,E,D,T,2
other,47,U,M,2,L,G,D,R,2
other,29,H,M,3,L,F,C,C,2
other,31,U,F,Not matched,L,F,B,C,3
FL,12,H,F,2,L,F,A,S,1
CA,38,U,M,Not matched,L,F,C,T,2
TX,53,U,F,2,L,F,B,R,3
TX,11,U,F,Not matched,L,G,B,S,1
TX,46,H,M,3,L,F,D,R,2
IN,44,U,F,Not matched,L,F,D,R,2
GA,35,H,F,3,L,F,A,T,1
TX,45,H,M,2,L,E,A,R,2
other,18,H,F,3,L,E,B,S,2
other,49,U,F,2,L,E,D,R,2
other,48,U,F,Not matched,L,F,C,R,2
other,39,U,M,1,L,G,C,T,2
GA,39,H,M,3,L,G,B,T,2
CA,17,H,F,3,L,E,A,S,2
CA,9,U,F,Not matched,L,G,A,U,3
TX,27,H,F,3,L,F,A,C,2
NC,11,H,F,2,L,F,B,S,1
other,34,H,M,3,L,F,A,T,1
other,38,U,F,3,L,E,D,T,2
TX,1,U,M,Not matched,L,G,B,U,1
MI,27,U,F,Not matched,L,E,B,C,2
IL,30,U,M,2,L,F,B,C,3
CA,18,H,other,3,L,F,A,S,2
other,17,U,F,Not matched,L,E,A,S,2
IN,43,U,F,1,L,F,B,R,2
CA,10,U,M,Not matched,L,F,A,U,4
CA,24,H,F,2,L,F,A,C,1
IL,24,U,F,2,L,E,A,C,1
MO,16,H,F,3,L,F,A,S,2
other,40,U,other,2,L,E,C,R,2
CA,7,U,F,Not matched,L,F,A,U,2
other,14,H,F,3,L,F,A,S,1
CA,46,U,F,Not matched,L,D,D,R,2
other,35,H,F,3,L,E,B,T,1
CA,7,H,F,3,L,F,A,U,2
IL,49,H,M,3,L,F,D,R,2
other,48,U,F,Not matched,L,E,D,R,2
other,28,H,M,3,L,G,C,C,2
MI,22,H,F,3,L,F,A,C,1
GA,38,U,M,Not matched,L,F,C,T,2
FL,15,H,M,3,L,F,A,S,1
FL,8,H,F,3,L,G,A,U,3
other,44,U,F,Not matched,L,F,B,R,2
FL,27,H,F,3,L,F,C,C,2
CA,20,H,F,3,L,E,C,S,2
WA,30,H,M,2,L,F,A,C,3
other,43,H,F,2,L,F,D,R,2
CA,35,U,F,1,L,F,C,T,1
CA,40,U,F,Not matched,L,E,A,T,2
other,40,U,F,3,L,G,A,R,2
other,24,U,M,3,L,F,B,C,1
FL,8,U,F,2,L,F,A,U,3
CA,30,H,M,2,L,F,C,C,3
other,11,H,F,2,L,E,B,S,1
FL,33,H,M,3,L,G,A,C,3
other,1,U,M,1,L,F,A,U,1
TX,30,U,other,1,L,G,C,C,3
other,18,H,F,2,L,F,B,S,2
other,45,U,F,2,L,F,D,R,2
FL,37,H,M,3,L,G,A,T,2
WA,35,U,F,3,L,F,C,T,1
FL,33,U,M,Not matched,L,E,A,C,3
GA,50,U,F,Not matched,L,F,D,R,3
CA,19,H,F,2,L,G,A,S,2
other,40,U,M,Not matched,L,F,B,T,2
other,31,U,other,3,L,F,B,C,3
other,14,H,F,2,L,F,A,S,1
WA,20,H,F,3,L,F,A,S,2
other,13,H,M,3,L,F,B,S,1
CA,2,H,M,1,L,E,A,U,1
CA,31,U,F,Not matched,L,E,A,C,3
other,21,H,F,2,L,E,B,S,3
other,11,H,F,2,L,F,B,S,1
TX,17,H,F,3,L,G,A,S,2
CA,9,U,F,Not matched,L,G,A,U,3
FL,26,H,F,2,L,G,A,C,2
WA,25,U,F,1,L,E,C,C,2
TX,35,U,F,3,L,F,C,T,1
IL,27,H,M,3,L,G,D,C,2
TX,17,U,F,1,L,G,A,S,2
CA,8,U,F,1,L,F,B,U,3
other,36,U,F,3,L,D,D,T,2
MO,28,H,F,2,L,G,D,C,2
other,50,U,F,3,L,E,B,R,3
other,38,U,M,2,L,D,C,T,2
other,36,U,M,3,L,F,D,T,2
CA,16,U,F,2,L,F,A,S,2
other,34,U,F,3,L,F,B,T,1
TX,18,H,M,3,L,G,A,S,2
other,11,U,F,Not matched,L,E,B,S,1
other,27,U,F,Not matched,L,G,B,C,2
CA,7,U,F,Not matched,L,F,A,U,2
other,11,U,M,Not matched,L,F,B,S,1
IL,41,H,F,3,L,F,D,T,3
TX,14,U,M,Not matched,L,F,B,S,1
CA,8,H,F,3,L,F,A,U,3
IL,3,U,F,Not matched,L,E,A,U,1
other,37,H,F,3,L,F,D,T,2
other,40,H,M,3,L,D,D,T,2
CA,3,H,M,3,L,G,A,U,1
CA,15,H,M,3,L,E,A,S,1
WA,3,U,M,2,L,E,A,U,1
other,34,H,M,3,L,F,B,T,1
WI,42,U,F,Not matched,L,F,D,R,1
TX,19,U,M,2,L,F,A,S,2
CA,30,U,F,2,L,F,A,C,3
other,24,H,F,3,L,D,C,C,1
other,25,U,M,Not matched,L,G,C,C,2
FL,23,H,M,3,L,F,B,C,1
GA,5,H,F,3,L,F,A,U,2
other,45,U,F,Not matched,L,F,D,R,2
other,31,U,M,Not matched,L,F,C,C,3
other,43,H,F,3,L,G,D,R,2
GA,24,H,M,3,L,G,A,C,1
NC,49,H,F,2,L,F,C,R,2
MI,20,U,M,1,L,F,B,S,2
FL,27,H,F,3,L,G,B,C,2
other,44,U,M,1,L,F,D,R,2
GA,31,U,F,1,L,D,A,C,3
other,34,H,M,3,L,F,B,T,1
IN,32,H,F,3,L,E,A,C,3
NC,24,U,F,Not matched,L,G,B,C,1
other,28,U,F,1,L,D,B,C,2
IL,7,U,F,1,L,E,A,U,2
MI,24,U,M,3,L,G,D,C,1
CA,12,U,F,Not matched,L,E,A,S,1
FL,10,U,F,2,L,F,A,U,4
CA,11,H,F,1,L,G,A,S,1
other,45,U,M,Not matched,L,F,B,R,2
other,12,H,F,3,L,D,B,S,1
FL,40,H,F,3,L,F,B,T,2
TX,41,U,M,3,L,F,C,T,3
WA,28,U,M,Not matched,L,G,A,C,2
FL,5,H,F,3,L,E,A,U,2
MI,12,H,F,2,L,G,A,S,1
other,43,H,M,3,L,E,D,R,2
other,34,U,F,Not matched,L,G,B,T,1
FL,50,U,F,Not matched,L,D,D,R,3
GA,43,U,M,Not matched,L,F,D,R,2
other,41,U,M,2,L,D,C,T,3
CA,35,H,M,3,L,F,A,T,1
other,39,H,F,3,L,D,C,T,2
CA,38,H,M,3,L,F,A,T,2
MI,35,U,F,3,L,F,B,T,1
other,43,U,F,2,L,G,C,R,2
other,3,H,F,1,L,F,B,U,1
IN,23,H,M,3,L,G,C,C,1
other,35,U,F,1,L,E,D,T,1
CA,42,U,F,Not matched,L,E,B,R,1
other,12,H,M,3,L,E,B,S,1
NC,41,U,F,1,L,G,C,T,3
FL,36,H,F,3,L,E,C,T,2
other,31,U,F,Not matched,L,E,B,C,3
CA,10,H,F,2,L,G,A,U,4
FL,18,H,F,3,L,F,B,S,2
other,28,H,M,3,L,F,D,C,2
MI,30,H,F,3,L,F,C,C,3
other,38,U,M,Not matched,L,F,C,T,2
CA,11,U,F,Not matched,L,F,A,S,1
other,31,U,F,Not matched,L,G,B,C,3
CA,14,H,M,3,L,F,B,S,1
MI,40,H,M,3,L,F,B,T,2
GA,23,U,F,Not matched,L,F,C,C,1
MI,40,H,M,3,L,D,C,T,2
other,30,H,M,2,L,G,C,C,3
other,20,U,F,Not matched,L,F,B,S,2
other,40,U,F,Not matched,L,G,B,T,2
other,18,U,F,Not matched,L,F,B,S,2
TX,12,H,M,3,L,F,A,S,1
other,25,H,M,3,L,G,C,C,2
other,41,H,F,3,L,F,C,T,3
CA,8,U,F,2,L,G,A,U,3
other,12,U,F,1,L,E,A,S,1
NC,28,U,M,Not matched,L,D,C,C,2
CA,1,U,F,2,L,E,A,U,1
other,20,H,F,3,L,F,B,S,2
FL,8,H,M,3,L,F,A,U,3
MI,30,U,F,Not matched,L,E,B,C,3
WI,44,H,M,2,L,E,B,R,2
other,36,U,M,2,L,F,D,T,2
IL,21,H,F,2,L,E,A,S,3
other,41,U,F,2,L,D,D,T,3
WI,12,H,M,3,L,G,B,S,1
other,49,U,M,3,L,G,C,R,2
MO,8,H,M,3,L,E,A,U,3
FL,37,H,M,3,L,F,C,T,2
CA,20,U,F,Not matched,L,E,C,S,2
TX,13,H,M,1,L,E,A,S,1
GA,14,H,M,3,L,E,A,S,1
other,37,H,F,3,L,G,B,T,2
FL,40,U,F,Not matched,L,F,B,T,2
other,45,U,F,Not matched,L,G,D,R,2
other,18,H,F,3,L,F,B,S,2
TX,49,H,F,3,L,F,A,R,2
other,38,U,F,Not matched,L,F,B,T,2
other,47,U,M,Not matched,L,G,B,R,2
CA,11,H,F,1,L,G,A,S,1
other,51,U,F,Not matched,L,D,D,R,3
IN,40,H,M,2,L,F,A,T,2
FL,23,H,M,2,L,E,A,C,1
other,35,H,F,3,L,E,C,T,1
CA,3,H,F,2,L,F,A,U,1
CA,3,H,F,2,L,G,A,U,1
CA,3,U,M,Not matched,L,E,B,U,1
IL,20,H,M,2,L,G,A,S,2
other,37,H,M,3,L,F,A,T,2
TX,2,H,M,3,L,E,A,U,1
other,16,H,M,3,L,E,B,S,2
CA,11,H,F,3,L,F,A,S,1
other,17,H,F,3,L,D,B,S,2
FL,27,U,M,Not matched,L,E,B,C,2
CA,10,U,F,Not matched,L,F,A,U,4
CA,19,H,M,3,L,F,A,S,2
CA,9,U,M,Not matched,L,F,A,U,3
CA,51,U,M,Not matched,L,F,A,R,3
CA,31,U,other,2,L,F,B,C,3
MI,26,H,F,3,L,F,A,C,2
IL,27,H,M,3,L,F,B,C,2
MI,11,H,F,2,L,F,A,S,1
MI,40,H,F,3,L,E,A,T,2
MI,8,H,M,2,L,F,A,U,3
CA,27,H,F,3,L,F,A,C,2
other,12,H,M,1,L,F,B,S,1
TX,15,U,F,3,L,F,B,S,1
other,12,H,M,2,L,E,B,S,1
TX,11,H,M,2,L,D,B,S,1
MO,7,H,F,3,L,F,A,U,2
MI,36,H,M,3,L,F,D,T,2
other,12,H,F,3,L,E,B,S,1
CA,30,U,M,3,L,E,B,C,3
other,40,U,M,3,L,E,D,R,2
other,45,H,F,3,L,F,D,R,2
CA,11,U,F,Not matched,L,F,A,S,1
other,3,H,F,3,L,F,B,U,1
other,30,H,F,3,L,F,B,C,3
other,40,H,M,3,L,F,B,T,2
GA,35,H,F,3,L,F,A,T,1
MI,18,H,M,3,L,F,B,S,2
FL,18,H,F,3,L,F,B,S,2
other,18,U,M,3,L,G,B,S,2
other,51,U,F,2,L,D,D,R,3
CA,40,H,F,3,L,E,A,R,2
MI,40,U,M,Not matched,L,F,C,T,2
CA,9,U,F,Not matched,L,E,A,U,3
other,39,U,F,3,L,F,A,T,2
other,36,U,M,Not matched,L,D,B,T,2
CA,3,U,F,Not matched,L,F,A,U,1
other,42,H,M,3,L,F,C,R,1
other,47,U,M,2,L,G,D,R,2
IL,35,H,F,3,L,F,A,T,1
NC,25,U,M,Not matched,L,E,B,C,2
FL,27,H,M,2,L,F,B,C,2
CA,11,U,F,Not matched,L,G,A,S,1
WI,51,U,F,3,L,E,D,R,3
IN,24,H,F,2,L,G,A,C,1
other,36,H,F,3,L,F,D,T,2
other,41,U,F,3,L,D,C,T,3
other,39,H,F,3,L,G,B,T,2
TX,2,U,F,1,L,E,A,U,1
CA,20,U,F,2,L,G,A,S,2
other,53,U,M,3,L,E,D,R,3
WA,36,H,F,3,L,E,C,T,2
FL,48,U,F,Not matched,L,G,B,R,2
FL,29,H,M,3,L,E,B,C,2
IN,45,U,M,3,L,F,D,R,2
other,21,U,F,Not matched,L,G,B,S,3
FL,13,H,F,3,L,G,B,S,1
other,40,U,F,2,L,F,C,R,2
FL,28,U,F,Not matched,L,F,B,C,2
other,40,U,F,Not matched,L,F,C,T,2
other,25,H,F,3,L,F,C,C,2
other,13,H,M,3,L,G,B,S,1
other,31,H,M,2,L,G,B,C,3
other,46,H,F,2,L,G,D,R,2
other,18,U,M,2,L,E,A,S,2
other,43,H,F,2,L,F,C,R,2
CA,29,H,F,3,L,F,A,C,2
CA,29,H,F,3,L,F,A,C,2
other,4,U,F,2,L,E,B,U,2
other,30,U,F,2,L,F,B,C,3
FL,20,H,M,3,L,D,B,S,2
CA,29,U,F,2,L,F,A,C,2
CA,40,U,F,2,L,F,A,R,2
TX,6,H,M,2,L,F,A,U,2
other,23,H,M,2,L,F,B,C,1
IN,12,U,F,Not matched,L,E,A,S,1
other,46,U,F,3,L,G,D,R,2
CA,2,U,M,3,L,E,A,U,1
other,35,H,M,3,L,E,B,T,1
FL,18,H,F,2,L,F,B,S,2
CA,13,U,M,3,L,F,A,S,1
other,49,H,F,2,L,F,D,R,2
other,36,U,F,3,L,F,C,T,2
IL,16,H,F,3,L,E,A,S,2
IL,12,U,M,2,L,F,A,S,1
FL,28,U,M,Not matched,L,F,B,C,2
FL,41,H,F,2,L,F,C,T,3
CA,5,H,F,3,L,F,A,U,2
other,40,U,F,1,L,E,A,R,2
CA,13,H,F,3,L,G,A,S,1
CA,11,H,F,2,L,D,A,S,1
CA,4,H,F,3,L,G,A,U,2
other,10,U,M,Not matched,L,G,B,U,4
TX,28,U,M,Not matched,L,F,D,C,2
CA,3,H,M,3,L,F,A,U,1
CA,30,U,M,2,L,G,B,C,3
CA,46,U,F,Not matched,L,F,D,R,2
other,49,H,F,2,L,G,B,R,2
FL,32,U,other,Not matched,L,F,B,C,3
other,35,U,M,Not matched,L,G,D,T,1
WA,42,H,F,3,L,E,C,R,1
other,49,U,F,Not matched,L,G,B,R,2
FL,34,H,F,3,L,F,B,T,1
CA,3,H,M,2,L,G,A,U,1
FL,29,U,F,Not matched,L,E,A,C,2
MI,35,H,M,3,L,E,A,T,1
other,43,U,F,Not matched,L,E,C,R,2
other,3,H,F,2,L,E,B,U,1
other,24,H,M,3,L,E,B,C,1
FL,33,H,M,2,L,D,C,C,3
IN,35,H,F,2,L,F,D,T,1
CA,34,U,M,Not matched,L,E,A,T,1
WA,18,H,F,2,L,F,B,S,2
other,1,U,F,Not matched,L,F,B,U,1
CA,13,H,M,3,L,F,A,S,1
WA,38,U,F,Not matched,L,F,C,T,2
CA,35,H,F,3,L,G,A,T,1
MI,51,H,F,3,L,F,D,R,3
IN,44,H,F,3,L,E,B,R,2
CA,3,H,F,3,L,G,A,U,1
other,36,H,F,2,L,F,C,T,2
WI,16,U,M,3,L,F,B,S,2
other,35,U,M,1,L,F,C,T,1
other,42,H,F,2,L,G,D,R,1
CA,8,U,M,Not matched,L,F,A,U,3
TX,17,H,M,3,L,F,B,S,2
IL,28,U,F,Not matched,L,F,A,C,2
IL,35,U,M,1,L,G,A,T,1
other,39,H,F,3,L,E,D,T,2
CA,12,H,F,2,L,F,A,S,1
CA,37,H,M,2,L,G,A,T,2
IL,26,U,F,Not matched,L,E,A,C,2
other,11,H,F,3,L,F,A,S,1
NC,47,U,M,2,L,F,B,R,2
CA,13,H,M,3,L,F,A,S,1
other,49,U,M,Not matched,L,F,D,R,2
other,36,H,F,3,L,G,C,T,2
NC,23,U,F,3,L,F,B,C,1
CA,44,H,F,2,L,F,B,R,2
IL,2,H,F,3,L,E,A,U,1
IN,12,H,M,3,L,F,C,S,1
CA,46,H,M,3,L,G,A,R,2
TX,34,H,M,2,L,F,A,T,1
other,36,U,F,1,L,F,D,T,2
other,7,U,F,2,L,F,B,U,2
FL,37,U,F,Not matched,L,E,A,T,2
FL,28,H,F,3,L,F,B,C,2
MO,36,U,other,3,L,E,A,T,2
other,39,U,M,2,L,G,B,T,2
other,17,H,F,3,L,F,B,S,2
NC,49,H,F,3,L,G,B,R,2
GA,40,H,M,3,L,E,D,T,2
other,20,U,F,Not matched,L,F,B,S,2
TX,35,H,F,3,L,G,A,T,1
other,36,U,F,3,L,E,C,T,2
TX,37,H,M,3,L,E,B,T,2
other,44,H,F,2,L,E,D,R,2
WA,46,U,M,3,L,E,A,R,2
CA,8,H,F,2,L,F,A,U,3
FL,40,U,M,2,L,F,D,R,2
IL,2,U,F,Not matched,L,E,A,U,1
MI,18,H,M,3,L,E,B,S,2
FL,49,U,F,Not matched,L,F,B,R,2
FL,40,U,F,2,L,G,B,R,2
other,34,U,F,Not matched,L,F,C,T,1
other,42,H,F,2,L,F,C,R,1
IL,44,U,M,2,L,F,C,R,2
other,48,H,M,2,L,F,D,R,2
MO,51,U,F,3,L,D,D,R,3
other,5,U,F,Not matched,L,E,B,U,2
other,51,U,M,Not matched,L,E,D,R,3
other,21,H,F,3,L,F,B,S,3
IL,46,U,F,1,L,F,C,R,2
TX,46,H,F,1,L,F,A,R,2
IL,14,H,M,3,L,F,A,S,1
CA,7,U,F,Not matched,L,G,A,U,2
MI,30,H,M,3,L,F,B,C,3
CA,42,U,M,2,L,D,C,R,1
WA,17,H,F,2,L,E,A,S,2
GA,44,U,F,Not matched,L,F,A,R,2
TX,15,H,F,3,L,F,B,S,1
other,51,H,M,3,L,G,C,R,3
MO,53,U,F,Not matched,L,D,D,R,3
GA,40,H,M,3,L,F,A,T,2
MI,8,H,F,2,L,F,A,U,3
CA,14,H,M,3,L,G,A,S,1
other,51,U,F,2,L,D,D,R,3
TX,35,U,F,Not matched,L,F,B,T,1
other,36,U,F,Not matched,L,F,D,T,2
other,25,H,M,2,L,F,C,C,2
other,49,U,M,3,L,E,D,R,2
other,49,U,M,3,L,F,B,R,2
CA,40,U,M,Not matched,L,F,B,R,2
MI,44,H,F,2,L,F,B,R,2
GA,39,U,M,Not matched,L,E,B,T,2
other,32,U,F,1,L,E,B,C,3
other,40,U,M,3,L,F,B,T,2
CA,35,H,M,2,L,F,C,T,1
CA,6,H,F,3,L,F,A,U,2
other,39,U,M,1,L,F,D,T,2
other,12,H,F,3,L,E,B,S,1
TX,27,U,F,Not matched,L,F,B,C,2
other,49,U,F,Not matched,L,E,D,R,2
WA,11,U,F,2,L,E,A,S,1
TX,27,U,F,Not matched,L,F,C,C,2
other,51,U,F,Not matched,L,E,D,R,3
GA,11,U,F,Not matched,L,F,A,S,1
IN,36,H,F,2,L,F,B,T,2
MO,24,H,F,2,L,E,A,C,1
WI,5,H,F,3,L,D,B,U,2
CA,2,U,M,1,L,E,A,U,1
CA,6,H,F,3,L,E,A,U,2
other,11,H,F,3,L,E,B,S,1
other,41,U,F,Not matched,L,D,D,T,3
WA,40,H,F,2,L,E,A,T,2
other,45,H,M,2,L,F,D,R,2
IL,14,U,M,Not matched,L,G,A,S,1
TX,37,U,F,3,L,G,D,T,2
NC,36,U,F,Not matched,L,F,D,T,2
CA,15,U,M,Not matched,L,F,A,S,1
TX,27,H,F,3,L,E,B,C,2
FL,46,H,F,2,L,E,D,R,2
GA,27,H,M,3,L,F,A,C,2
IL,22,U,F,2,L,G,C,C,1
CA,40,U,F,Not matched,L,F,B,T,2
WI,16,H,M,2,L,F,A,S,2
other,37,U,F,Not matched,L,F,D,T,2
MI,40,U,M,3,L,G,B,T,2
other,53,U,M,1,L,F,C,R,3
MI,5,U,F,2,L,F,A,U,2
WI,20,H,F,3,L,F,B,S,2
other,22,U,other,1,L,F,C,C,1
CA,35,H,M,3,L,F,A,T,1
FL,3,H,M,3,L,F,A,U,1
CA,13,U,F,Not matched,L,G,A,S,1
FL,8,U,M,Not matched,L,F,A,U,3
CA,13,H,M,3,L,D,A,S,1
MO,16,H,F,2,L,E,B,S,2
FL,5,U,F,Not matched,L,F,A,U,2
other,11,H,M,3,L,D,B,S,1
WA,27,H,M,3,L,G,C,C,2
IL,13,H,M,3,L,F,A,S,1
WI,49,U,F,3,L,D,B,R,2
other,44,U,M,2,L,F,D,R,2
other,10,H,F,3,L,F,B,U,4
MI,42,H,F,3,L,F,B,R,1
TX,49,U,M,3,L,F,D,R,2
other,5,H,F,3,L,F,B,U,2
other,11,H,F,3,L,F,B,S,1
